date,open,high,low,close
2022-02-02 06:29:00,28442.15,28459.39,28434.33,28459.39
2022-02-02 06:30:00,28463.83,28474.3,28456.32,28472.84
2022-02-02 06:31:00,28470.22,28472.27,28461.71,28468.06
2022-02-02 06:32:00,28463.5,28473.12,28461.46,28469.07
2022-02-02 06:33:00,28471.95,28472.45,28459.54,28467.26
2022-02-02 06:34:00,28457.98,28457.98,28447.8,28453.61
2022-02-02 06:35:00,28446.74,28446.74,28384.0,28384.0
2022-02-02 06:36:00,28389.88,28390.39,28372.56,28372.56
2022-02-02 06:37:00,28371.75,28380.82,28365.18,28372.53
2022-02-02 06:38:00,28370.42,28377.79,28366.18,28374.72
2022-02-02 06:39:00,28374.76,28374.76,28359.93,28370.37
2022-02-02 06:40:00,28370.2,28398.51,28360.1,28398.51
2022-02-02 06:41:00,28378.18,28402.2,28373.01,28402.2
2022-02-02 06:42:00,28404.03,28408.89,28389.58,28389.58
2022-02-02 06:43:00,28366.99,28370.64,28330.1,28334.3
2022-02-02 06:44:00,28334.65,28335.46,28300.0,28317.39
2022-02-02 06:45:00,28324.67,28349.32,28286.68,28349.32
2022-02-02 06:46:00,28339.28,28360.31,28337.84,28356.53
2022-02-02 06:47:00,28358.74,28361.67,28320.35,28320.35
2022-02-02 06:48:00,28330.39,28336.85,28319.93,28336.85
2022-02-02 06:49:00,28319.93,28319.93,28307.78,28318.91
2022-02-02 06:50:00,28316.39,28316.39,28292.95,28300.08
2022-02-02 06:51:00,28290.33,28340.08,28290.0,28295.88
2022-02-02 06:52:00,28304.69,28311.33,28292.14,28311.33
2022-02-02 06:53:00,28298.93,28312.3,28290.0,28293.63
2022-02-02 06:54:00,28275.0,28297.37,28273.84,28293.87
2022-02-02 06:55:00,28282.31,28298.99,28280.5,28295.65
2022-02-02 06:56:00,28295.65,28295.65,28277.56,28277.56
2022-02-02 06:57:00,28277.5,28295.94,28276.88,28286.73
2022-02-02 06:58:00,28292.3,28343.61,28292.3,28320.15
2022-02-02 06:59:00,28313.67,28339.83,28313.67,28321.91
2022-02-02 07:00:00,28326.29,28359.64,28326.29,28358.54
2022-02-02 07:01:00,28347.68,28352.11,28329.7,28330.53
2022-02-02 07:02:00,28319.7,28328.57,28296.87,28314.18
2022-02-02 07:03:00,28313.84,28314.52,28286.72,28291.22
2022-02-02 07:04:00,28284.03,28303.33,28280.83,28293.85
2022-02-02 07:05:00,28278.35,28313.29,28278.35,28313.29
2022-02-02 07:06:00,28325.0,28332.76,28321.68,28321.68
2022-02-02 07:07:00,28325.4,28325.4,28300.71,28300.71
2022-02-02 07:08:00,28306.02,28308.0,28297.63,28299.12
2022-02-02 07:09:00,28301.19,28312.7,28294.55,28305.22
2022-02-02 07:10:00,28299.87,28306.83,28290.07,28301.23
2022-02-02 07:11:00,28300.25,28323.27,28300.25,28323.27
2022-02-02 07:12:00,28338.21,28342.04,28331.14,28340.97
2022-02-02 07:13:00,28355.35,28358.83,28330.59,28346.72
2022-02-02 07:14:00,28346.43,28347.14,28329.54,28337.73
2022-02-02 07:15:00,28346.64,28360.3,28338.24,28358.39
2022-02-02 07:16:00,28358.39,28358.39,28334.15,28340.48
2022-02-02 07:17:00,28330.67,28330.67,28323.14,28325.03
2022-02-02 07:18:00,28321.79,28346.34,28319.66,28339.54
2022-02-02 07:19:00,28340.07,28347.05,28337.89,28339.47
2022-02-02 07:20:00,28340.35,28343.35,28337.54,28337.91
2022-02-02 07:21:00,28337.91,28341.99,28337.91,28341.99
2022-02-02 07:22:00,28347.13,28360.32,28341.15,28354.39
2022-02-02 07:23:00,28358.78,28358.78,28358.78,28358.78
